Title.E text="Explosives"
Title.R text="Взрывчатка"
Resume.E text="ATTENTION: This level will be recreated from scratch in the future. Retrieve some of explosive devices left in different places."
Resume.R text="ВНИМАНИЕ: Этот уровень будет пересоздан с нуля в будущем. Добудьте несколько взрывных устройств, оставленных в различных местах."
Instructions name="%lvl%/help/help.%lng%.txt"
Satellite name="%lvl%/help/report.%lng%.txt"
// Loading name="programs/7_CollectTitanium3.txt"
// SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win=-1 lost=0

Audio filename="music006.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="m_relief_07_old.png" factor=1.0
TerrainResource image="m_resae.png"
TerrainWater image="lava05.png" level=25.0 moveX=2.0 moveY=1.0 air=TO water=TO color=1.000;0.502;0.000;
TerrainLava mode=1
#Include file="%chap%/terrain.txt"
TerrainCreate

BeginObject

// LevelController script="../../../../lvlcreator/Helper.txt"
// CreateObject pos=35.00;70.00 dir=1.5 type=WingedGrabber power=900 range=0.0 magnifyDamage=0 script1="../../../../lvlcreator/PlantTrees.txt" script2="../../../../lvlcreator/PlantOne.txt" script3="../../../../lvlcreator/ReportPos.txt" script4="../../../../lvlcreator/Rotate.txt" script5="../../../../lvlcreator/PlaceBot.txt" script6="../../../../lvlcreator/PlaceRes.txt" script7="../../../../lvlcreator/PlaceBldg.txt" script8="../../../../lvlcreator/PlaceBug.txt" script9="../../../../lvlcreator/PlaceRuin.txt" script10="../../../../lvlcreator/PlaceWreck.txt" script11="../../../../lvlcreator/DelObject.txt" script12="../../../../lvlcreator/DelTree.txt" script13="../../../../lvlcreator/DelTrees.txt" scriptReadOnly1=false scriptReadOnly2=false scriptReadOnly3=false scriptReadOnly4=false scriptReadOnly5=false scriptReadOnly6=false scriptReadOnly7=false scriptReadOnly8=false scriptReadOnly9=false scriptReadOnly10=false scriptReadOnly13=false select=1
// CreateObject pos=29.00;70.00 dir=1.5 type=WingedSniffer power=900 range=0.0 magnifyDamage=0 script1="../../../../lvlcreator/SaveTrees.txt" script2="../../../../lvlcreator/SaveBots.txt" script3="../../../../lvlcreator/SaveBldgs.txt" script4="../../../../lvlcreator/SaveRsrcs.txt" script5="../../../../lvlcreator/SaveWrecks.txt" script6="../../../../lvlcreator/SaveBugs.txt" script7="../../../../lvlcreator/SaveOther.txt" script8="../../../../lvlcreator/SaveAll.txt" script9="../../../../lvlcreator/SaveOne.txt" scriptReadOnly1=false scriptReadOnly2=false scriptReadOnly3=false scriptReadOnly4=false scriptReadOnly5=false scriptReadOnly6=false scriptReadOnly7=false scriptReadOnly8=false scriptReadOnly9=false
// CreateObject pos=-1500.00;-1500.00 dir=1.5 type=RadarStation proxyActivate=1 proxyDistance=0

CreateObject pos=32.00;70.00 dir=0.0 type=SpaceShip run=1
CreateObject pos=28.75;66.75 dir=1.5 type=WheeledGrabber power=1.0 select=1 // script1="/%lvl%/Build.txt" scriptReadOnly1=false
CreateObject pos=35.25;66.75 dir=1.5 type=WheeledGrabber power=1.0 // script1="/%lvl%/Build.txt" scriptReadOnly1=false
// CreateObject pos=32.00;73.25 dir=1.5 type=TrackedShooter power=1.0

CreateObject pos=28.25; 72.50 dir=0.0 type=PowerCell
CreateObject pos=29.50; 72.50 dir=0.0 type=PowerCell
// CreateObject pos=31.375; 72.50 dir=0.0 type=PowerCell
// CreateObject pos=32.625; 72.50 dir=0.0 type=PowerCell
CreateObject pos= 34.50; 72.50 dir=0.0 type=PowerCell
CreateObject pos= 35.75; 72.50 dir=0.0 type=PowerCell
CreateObject pos=28.25; 73.75 dir=0.0 type=PowerCell
CreateObject pos=29.50; 73.75 dir=0.0 type=PowerCell
// CreateObject pos=31.375; 73.75 dir=0.0 type=PowerCell
// CreateObject pos=32.625; 73.75 dir=0.0 type=PowerCell
CreateObject pos=34.50; 73.75 dir=0.0 type=PowerCell
CreateObject pos=35.75; 73.75 dir=0.0 type=PowerCell

// CreateObject pos=-201.189;221.03 dir=2.0 type=RepairCenter proxyActivate=1 proxyDistance=18
CreateObject pos=-197.257;235.821 dir=0.519971 type=RuinBotFactory
CreateObject pos=-184.072;221.784 dir=0.990557 type=RuinConvert
CreateObject pos=-181.735;218.506 dir=1.77101 type=RuinSupport
CreateObject pos=-187.777;225.018 dir=1.76391 type=RuinDoor
CreateObject pos=-183.607;215.583 dir=1.02743 type=RuinDoor
// CreateObject pos=-204.113;212.904 dir=1.82745 type=RuinRadar h=-3.0
// CreateObject pos=-188.58;203.427 dir=0.022928 type=RuinSupport zoom=2.5;2.5;2.5
CreateObject pos=-192.317;202.711 dir=0.401287 type=RuinRadar
// CreateObject pos=-201.633;231.233 dir=0.46669 type=NuclearCell power=0.55
// CreateObject pos=-193.106;239.148 dir=2 type=PowerCell power=0.95
// CreateObject pos=-191.546;238.432 dir=2 type=PowerCell power=0.7
// CreateObject pos=-193.123;235.554 dir=2 type=PowerCell power=0.3
CreateObject pos=-184.072;221.784 dir=0.990557 type=Titanium

// CreateObject pos=-244.194;204.4 dir=0.096647 type=RuinConvert
CreateObject pos=-248.941;205.955 dir=1.08758 type=RuinConvert h=-1.35
// CreateObject pos=-243.348;207.247 dir=1.70493 type=NuclearCell power=0.35
// CreateObject pos=-242.071;207.478 dir=1.54629 type=PowerCell power=0.1
// CreateObject pos=-239.33;197.214 dir=2 type=PowerCell power=0.25

CreateObject pos=-117.00;138.939 dir=1.5 type=PowerStation proxyActivate=1 proxyDistance=18
// CreateObject pos=-117.00;132.939 dir=0.5 type=RuinConvert h=-1.1
