Title.E text="Concussion"
Title.R text="Сотрясение"
Resume.E text="Utilize appropriate technology against new kind of enemy before starting extraction of precious ore."
Resume.R text="Задействуйте подходящую технологию против нового вида врага перед тем, как начать добычу ценной руды."
Instructions name="%lvl%/help/help.%lng%.txt"
Satellite name="%lvl%/help/report.%lng%.txt"
// Loading name="programs/6_KillAnt1.txt"
// SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win=-1 lost=0

Audio filename="music005.ogg"

// Planets for SpaceShip transition animation
Planet mode=1 pos=4.1;0.1 dim=0.3 speed=0.0 dir=0.3 image="planet01.png" uv1=0.5;0.5 uv2=1.0;1.0

#Include file="%chap%/planet.txt"
TerrainRelief image="m_relief_05.png" factor=1.0
TerrainResource image="m_res_05.png"
#Include file="%chap%/terrain.txt"
TerrainCreate

BeginObject
LevelController script="/%lvl%/Control.txt"

CreateObject pos= 0.00; 40.00 dir=0.0 type=SpaceShip run=11
CreateObject pos=-3.25; 36.75 dir=1.5 type=WheeledGrabber select=1 script1="/%lvl%/Build.txt" scriptReadOnly1=false
CreateObject pos= 3.25; 36.75 dir=1.5 type=WheeledGrabber script1="/%lvl%/Build.txt" scriptReadOnly1=false

CreateObject pos=-3.75; 44.30 dir=0.0 type=Titanium
CreateObject pos=-2.50; 44.30 dir=0.0 type=Titanium
// CreateObject pos=-0.625; 44.30 dir=0.0 type=PowerCell
// CreateObject pos= 0.625; 44.30 dir=0.0 type=PowerCell
CreateObject pos= 2.50; 44.30 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 44.30 dir=0.0 type=PowerCell

CreateObject pos=-3.75; 43.25 dir=0.0 type=Titanium
CreateObject pos=-2.50; 43.25 dir=0.0 type=Titanium
// CreateObject pos=-0.625; 43.25 dir=0.0 type=PowerCell
// CreateObject pos= 0.625; 43.25 dir=0.0 type=PowerCell
CreateObject pos= 2.50; 43.25 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 43.25 dir=0.0 type=PowerCell

CreateObject pos=-3.75; 42.20 dir=0.0 type=Titanium
CreateObject pos=-2.50; 42.20 dir=0.0 type=Titanium
// CreateObject pos=-0.625; 42.20 dir=0.0 type=Titanium
// CreateObject pos= 0.625; 42.20 dir=0.0 type=Titanium
CreateObject pos= 2.50; 42.20 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 42.20 dir=0.0 type=PowerCell

CreateObject pos=-3.75; 41.05 dir=0.0 type=Titanium
CreateObject pos=-2.50; 41.05 dir=0.0 type=Titanium
CreateObject pos=-3.75; 40.00 dir=0.0 type=Titanium
CreateObject pos=-2.50; 40.00 dir=0.0 type=Titanium
CreateObject pos=-3.75; 38.95 dir=0.0 type=Titanium
CreateObject pos=-2.50; 38.95 dir=0.0 type=Titanium

CreateObject pos= 2.50; 41.05 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 41.05 dir=0.0 type=PowerCell
CreateObject pos= 2.50; 40.00 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 40.00 dir=0.0 type=PowerCell
CreateObject pos= 2.50; 38.95 dir=0.0 type=PowerCell
CreateObject pos= 3.75; 38.95 dir=0.0 type=PowerCell

CreateObject pos=86.2496;85.6361 dir=1.4798 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=63.1724;97.8252 dir=1.19321 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=49.684;117.903 dir=1.19976 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=25.5493;121.206 dir=1.14516 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=-3.63485;144.635 dir=1.62026 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=-23.4565;172.479 dir=1.32402 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=5.29747;178.157 dir=0.223882 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=19.3874;167.024 dir=0.128683 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=35.7064;153.078 dir=0.224149 type=AlienWorm script1="c_worm_02.txt" run=1
CreateObject pos=60.1644;145.64 dir=0.0525603 type=AlienWorm script1="c_worm_02.txt" run=1
