Title.E text="Ants hill"
Title.R text="Муравейник"
Resume.E text="Retrieve the black box using only defensive tool and your speed."
Resume.R text="Достаньте чёрный ящик, используя только оборонительное средство и свою скорость."
Instructions name="%lvl%/help/help.%lng%.txt"
Satellite name="%lvl%/help/report.%lng%.txt"
// Loading name="programs/6_KillAnt1.txt"
SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win=-1 lost=0

Audio filename="music005.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="m_relief_08.png" factor=1.0
TerrainResource image="m_nores.png"
#Include file="%chap%/terrain.txt"
TerrainCreate

BeginObject

CreateObject pos= 0.00; 0.00 dir=0.5 type=SpaceShip run=1
CreateObject pos= 3.25; 3.25 dir=0.5 type=WheeledGrabber power=1 select=1 script1="/%lvl%/Build.txt" scriptReadOnly1=false
CreateObject pos=-3.25; 3.25 dir=0.5 type=Thumper power=1

CreateObject pos=3.75;-2.50 dir=0.0 type=UraniumOre
CreateObject pos=2.50;-2.50 dir=0.0 type=UraniumOre
// CreateObject pos=0.625;-2.50 dir=0.0 type=UraniumOre
// CreateObject pos=-0.625;-2.50 dir=0.0 type=UraniumOre
CreateObject pos=-2.50;-2.50 dir=0.0 type=UraniumOre
CreateObject pos=-3.75;-2.50 dir=0.0 type=UraniumOre
CreateObject pos=3.75;-3.75 dir=0.0 type=UraniumOre
CreateObject pos=2.50;-3.75 dir=0.0 type=UraniumOre
// CreateObject pos=0.625;-3.75 dir=0.0 type=UraniumOre
// CreateObject pos=-0.625;-3.75 dir=0.0 type=UraniumOre
CreateObject pos=-2.50;-3.75 dir=0.0 type=UraniumOre
CreateObject pos=-3.75;-3.75 dir=0.0 type=UraniumOre


CreateObject pos=42.2389;-59.4169 dir=0.99479 type=RuinBaseCamp
CreateObject pos=26.2638;-67.0335 dir=1.34749 type=RuinHeadCamp
// CreateObject pos=42.2389;-59.4169 dir=1.83 type=RuinBaseCamp h=-3
// CreateObject pos=-15.00;38.75 dir=1.83 type=RuinHeadCamp
CreateObject pos=6.28232;-70.3635 dir=1.50467 type=RuinConvert
CreateObject pos=19.4939;-45.7261 dir=0.09391 type=RuinConvert h=-1.2
CreateObject pos=37.8149;-80.0433 dir=1.05755 type=WreckBotw1
CreateObject pos=4.74412;-34.7727 dir=1.99772 type=WreckBotw2
CreateObject pos=-30.9878;-51.9187 dir=1.19455 type=WreckBott2
CreateObject pos=56.4083;-40.7182 dir=0.755449 type=RuinBotFactory
CreateObject pos=43.9515;-81.4306 dir=1.52376 type=RuinBotFactory
CreateObject pos=-22.7758;-13.1761 dir=1.49729 type=RuinRadar
CreateObject pos=-160.409;94.5921 dir=0.50064 type=RuinConvert
CreateObject pos=-74.9646;46.1768 dir=0.00709737 type=RuinSupport
CreateObject pos=-74.9921;48.7274 dir=0.47635 type=WreckBotw1
CreateObject pos=-112.368;74.9355 dir=0.277376 type=WreckBott2
CreateObject pos=-119.349;10.6595 dir=1.05394 type=WreckBotr2
CreateObject pos=187.095;-68.2967 dir=1.5198 type=RuinRadar
CreateObject pos=148.964;-186.591 dir=1.50109 type=RuinConvert
CreateObject pos=145.121;-187.045 dir=1.49573 type=RuinDoor
CreateObject pos=154.63;-165.269 dir=0.665139 type=RuinBotFactory
CreateObject pos=130.416;-174.87 dir=1.15985 type=WreckBott2
CreateObject pos=149.695;-154.796 dir=0.122052 type=WreckBotr1
CreateObject pos=29.3886;-104.671 dir=1.5528 type=WreckBott2
CreateObject pos=-26.8408;-103.317 dir=0.0653314 type=WreckBott1
CreateObject pos=-3.94218;27.3656 dir=0.498563 type=WreckBotr2 h=-4.2
CreateObject pos=-48.2687;32.3734 dir=1.10634 type=RuinBotFactory

CreateObject pos=40.0261;-81.6189 dir=1.50528 type=BlackBox

// CreateObject pos=-76.59;47.10 dir=1.3 type=PowerCell power=0.3
// // CreateObject pos=48.94;-81.53 dir=1.3 type=PowerCell power=0.4
// // CreateObject pos=49.20;-84.10 dir=1.3 type=PowerCell power=0.6
// CreateObject pos=156.79;-170.04 dir=1.3 type=PowerCell power=0.1
// CreateObject pos=155.36;-170.98 dir=1.3 type=PowerCell power=0.4

// Closer
CreateObject pos=39.2279;39.5091 dir=0.307306 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=35.1582;-39.8466 dir=0.843383 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=11.1926;-51.0166 dir=1.55573 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-42.8552;14.1682 dir=0.768879 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-66.7148;40.799 dir=0.639913 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=43;12 dir=1.0 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-27.47;-37.13 dir=1.5 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-37;27 dir=0.5 cmdline=1100 type=AlienAnt script1="m_ant_01.txt" run=1

// Farther
CreateObject pos=-12.89;-81.52 dir=0.806617 cmdline=-25.9748;-114.457;1040 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-113.739;-94.568 dir=1.05425 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-86.77;-13.65 dir=0.20454 cmdline=-126.649;-27.1138;1015 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-45.99;78.73 dir=0.28839 cmdline=-98.3635;137.48;1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-134.275;124.893 dir=1.09048 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-94.8256;191.783 dir=1.75416 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=10.871;193.386 dir=0.104062 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=75.9738;135.1 dir=0.606633 cmdline=1015 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=73.6622;80.8785 dir=0.41291 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=122.722;28.2134 dir=0.385739 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1
CreateObject pos=-213.35;-72.42 dir=0.0 cmdline=1050 type=AlienAnt script1="m_ant_01.txt" run=1

// CreateObject pos=-24.76;-84.0788 dir=0.111225 type=TitaniumOre
// CreateObject pos=-17.5498;-76.4195 dir=1.56341 type=TitaniumOre
// CreateObject pos=-60.1229;-60.9235 dir=0.853015 type=TitaniumOre
// CreateObject pos=-83.156;-46.3059 dir=1.32985 type=TitaniumOre
// CreateObject pos=-144.264;-84.3782 dir=1.21745 type=TitaniumOre
