Title.E text="\\\Range #3"
Title.R text="\\\Полигон #3"
Resume.E text="LEVEL IS YET IN THE PROCESS."
Resume.R text="УРОВЕНЬ ЕЩЁ В ПРОЦЕССЕ."
Instructions name="%lvl%/help/help.%lng%.txt"
Satellite name="%lvl%/help/report.%lng%.txt"
// Loading name="programs/6_KillAnt1.txt"
SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win=-1 lost=0

Audio filename="music005.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="m_relief_210.png" factor=1.0
TerrainResource image="m_nores.png"
#Include file="%chap%/terrain.txt"
TerrainCreate

GroundSpot pos= 0;0 radius=20 color=0.5;0.3;0.0

BeginObject
LevelController script="/%lvl%/Control.txt"
CreateObject pos= 0.00; -130.00 dir=0.0 type=SpaceShip run=1
CreateObject pos=-3.25;-133.25 dir=1.5 type=WheeledGrabber power=0.45 select=1 script1="/%lvl%/Build.txt" scriptReadOnly1=false
CreateObject pos= 3.25;-133.25 dir=1.5 type=Thumper power=0.15

CreateObject pos=-3.75;-127.50 dir=0.0 type=Titanium
CreateObject pos=-2.50;-127.50 dir=0.0 type=Titanium
CreateObject pos=-0.62;-127.50 dir=0.0 type=UraniumOre
CreateObject pos= 0.63;-127.50 dir=0.0 type=UraniumOre
CreateObject pos= 2.50;-127.50 dir=0.0 type=UraniumOre
CreateObject pos= 3.75;-127.50 dir=0.0 type=UraniumOre
CreateObject pos=-3.75;-126.25 dir=0.0 type=PowerCell
CreateObject pos=-2.50;-126.25 dir=0.0 type=PowerCell
CreateObject pos=-0.62;-126.25 dir=0.0 type=UraniumOre
CreateObject pos= 0.63;-126.25 dir=0.0 type=UraniumOre
CreateObject pos= 2.50;-126.25 dir=0.0 type=UraniumOre
CreateObject pos= 3.75;-126.25 dir=0.0 type=UraniumOre

// CreateObject pos= 3.75;-125.70 dir=0.0 type=UraniumOre
// CreateObject pos= 2.50;-125.70 dir=0.0 type=UraniumOre
// // CreateObject pos= 0.625;-125.70 dir=0.0 type=UraniumOre
// // CreateObject pos=-0.625;-125.70 dir=0.0 type=UraniumOre
// CreateObject pos=-2.50;-125.70 dir=0.0 type=PowerCell
// CreateObject pos=-3.75;-125.70 dir=0.0 type=PowerCell

// CreateObject pos= 3.125;-126.75 dir=0.0 type=UraniumOre
// // CreateObject pos= 0.00;-126.75 dir=0.0 type=UraniumOre
// CreateObject pos=-3.125;-126.75 dir=0.0 type=Titanium

// CreateObject pos= 3.75;-127.80 dir=0.0 type=UraniumOre
// CreateObject pos= 2.50;-127.80 dir=0.0 type=UraniumOre
// // CreateObject pos= 0.625;-127.80 dir=0.0 type=UraniumOre
// // CreateObject pos=-0.625;-127.80 dir=0.0 type=UraniumOre
// CreateObject pos=-2.50;-127.80 dir=0.0 type=Titanium
// CreateObject pos=-3.75;-127.80 dir=0.0 type=Titanium


// CreateObject pos= 0.625;-127.50 dir=0.0 type=UraniumOre
// CreateObject pos=-0.625;-127.50 dir=0.0 type=UraniumOre
// CreateObject pos= 0.00;-126.25 dir=0.0 type=UraniumOre

// The base  |
//           V

CreateObject pos=-148.05;-69.9359 dir=0.75 type=Vault proxyActivate=1 proxyDistance=48
CreateObject pos=-156.177;-78.959 dir=0.75 type=Vault proxyActivate=1 proxyDistance=48
CreateObject pos=-134.488;-121.467 dir=1.5066 type=BotFactory proxyActivate=1 proxyDistance=48
CreateObject pos=-124.392;-100.74 dir=1.01201 type=RepairCenter proxyActivate=1 proxyDistance=48
CreateObject pos=-134.297;-92.7525 dir=1.01705 type=ExchangePost proxyActivate=1 proxyDistance=48
CreateObject pos=-147.412;-100.562 dir=1.99622 type=ResearchCenter power=-1 proxyActivate=1 proxyDistance=48
CreateObject pos=-135;-70 dir=0.5 type=GoalArea proxyActivate=1 proxyDistance=48
CreateObject pos=-130;-70 dir=0.5 type=GoalArea proxyActivate=1 proxyDistance=48
CreateObject pos=-147.171;-106.047 dir=2 type=PowerCell power=1.0
CreateObject pos=-148.552;-104.486 dir=2 type=PowerCell power=0.0
CreateObject pos=-145.223;-103.438 dir=2 type=PowerCell power=1.0
CreateObject pos=-149.106;-109.728 dir=2 type=PowerCell power=1.0
CreateObject pos=-144.696;-102.611 dir=2 type=PowerCell power=1.0
CreateObject pos=-123.486;-107.191 dir=2 type=PowerCell power=1.0
CreateObject pos=-129.295;-108.721 dir=2 type=PowerCell power=0.6
CreateObject pos=-129.842;-121.490 dir=2 type=PowerCell power=0.15
CreateObject pos=-129.622;-120.353 dir=2 type=PowerCell power=0.30
CreateObject pos=-121.139;-92.3565 dir=2 type=PowerCell power=1.0
CreateObject pos=-121.956;-90.6127 dir=2 type=PowerCell power=1.0
CreateObject pos=-122.435;-91.5568 dir=2 type=PowerCell power=1.0

// CreateObject pos=-36.5233;-39.3371 dir=1.77015 type=WheeledGrabber power=0.77 proxyActivate=1 proxyDistance=48
CreateObject pos=-97.8424;-1.35744 dir=1.87824 type=WheeledGrabber power=0.55 proxyActivate=1 proxyDistance=48
CreateObject pos=-130.741;-96.4878 dir=1.6827 type=TrackedGrabber power=0.86 proxyActivate=1 proxyDistance=48
CreateObject pos=46.0275;-37.9194 dir=0.620933 type=TrackedGrabber power=0.65 proxyActivate=1 proxyDistance=48
CreateObject pos=-133.301;127.498 dir=1.56283 type=TrackedGrabber power=0.91 proxyActivate=1 proxyDistance=48
CreateObject pos=-190.902;-95.588 dir=1.27712 type=TrackedGrabber power=0.67 proxyActivate=1 proxyDistance=48
// CreateObject pos=-120.041;-162.452 dir=1.36127 type=TrackedGrabber power=0.61 proxyActivate=1 proxyDistance=48

// CreateObject pos=-156.723;85.5985 dir=0.504257 type=BotFactory proxyActivate=1 proxyDistance=48
CreateObject pos=-148.023;85.5625 dir=0.504718 type=BotFactory proxyActivate=1 proxyDistance=48
CreateObject pos=-138.77;85.5833 dir=0.509153 type=BotFactory proxyActivate=1 proxyDistance=48
CreateObject pos=-132.887;41.8863 dir=0.502221 type=ExchangePost proxyActivate=1 proxyDistance=48
// CreateObject pos=-120.912;59.8111 dir=1.49887 type=RepairCenter proxyActivate=1 proxyDistance=48
CreateObject pos=-169.666;21.0067 dir=0.00209 type=Vault proxyActivate=1 proxyDistance=48
CreateObject pos=-157.153;21.1316 dir=0.00375 type=Vault proxyActivate=1 proxyDistance=48
CreateObject pos=-144.249;21.0849 dir=0.00375 type=Vault proxyActivate=1 proxyDistance=48
// CreateObject pos=-112.862;65.1313 dir=0.02686 type=Vault proxyActivate=1 proxyDistance=48

CreateObject pos=-161.142;21.4298 dir=0.02375 type=KeyA
CreateObject pos=-153.164;20.8334 dir=1.02375 type=KeyB
CreateObject pos=-157.451;17.1427 dir=0.52375 type=KeyC
